window_id,window_family,pool,regime,prefix_swap_count,old_lp_uplift_vs_hook_quote,new_lp_uplift_vs_hook_quote,delta_lp_uplift_vs_hook_quote,old_trigger_rate,new_trigger_rate,delta_trigger_rate,old_fill_rate,new_fill_rate,old_failclosed_rate,new_failclosed_rate
dai_usdc_100_normal_4h_p01,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,8,-14.12116791422252,0.0,14.12116791422252,0.20833333333333334,0.0,-0.20833333333333334,1.0,0.0,0.0,0.0
dai_usdc_100_normal_4h_p02,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,10,-22.16615987351968,0.0,22.16615987351968,0.19999999999999998,0.0,-0.19999999999999998,0.9166666666666666,0.0,0.08333333333333333,0.0
dai_usdc_100_normal_4h_p03,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,12,-22.276460756766568,0.0,22.276460756766568,0.19444444444444445,0.0,-0.19444444444444445,0.8666666666666667,0.0,0.13333333333333333,0.0
dai_usdc_100_normal_4h_p04,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,14,-25.29078404705146,0.0,25.29078404705146,0.23809523809523805,0.0,-0.23809523809523805,0.8666666666666667,0.0,0.13333333333333333,0.0
wbtc_usdc_500_normal_4h_p01,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p02,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p03,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p04,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p05,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p06,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p01,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p02,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p03,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p04,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p01,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p02,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p03,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p04,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p05,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p06,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p01,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,12,-1.224404191645244,0.10760784392820816,1.3320120355734522,0.3958333333333333,0.041666666666666664,-0.35416666666666663,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p02,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,32,-1.784449702954241,0.8704739730310393,2.6549236759852803,0.265625,0.0703125,-0.1953125,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p03,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,52,1.824261946932893,4.735148029605625,2.9108860826727323,0.21153846153846154,0.06250000000000001,-0.1490384615384615,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p04,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,73,13.49187630180677,17.061416706559612,3.5695404047528427,0.19520547945205477,0.05821917808219178,-0.136986301369863,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p05,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,93,13.23170355995535,17.061416706559612,3.829713146604263,0.1648936170212766,0.04521276595744681,-0.11968085106382981,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p06,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,113,13.024236535056843,17.09854771155551,4.074311176498668,0.14823008849557523,0.04203539823008849,-0.10619469026548674,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_2h_p01,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,12,-1.7015432348362651,0.0,1.7015432348362651,0.0625,0.0,-0.0625,1.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p02,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,25,-8.418231792920778,0.0,8.418231792920778,0.07,0.0,-0.07,1.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p03,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,38,-12.72385041558664,0.5005494291472132,13.224399844733853,0.05921052631578947,0.006578947368421052,-0.05263157894736842,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_2h_p04,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,51,-11.507214034820208,2.0658249369298574,13.573038971750066,0.08823529411764705,0.029411764705882353,-0.0588235294117647,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_6h_p01,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,18,-8.114188185230887,0.0,8.114188185230887,0.06944444444444445,0.0,-0.06944444444444445,1.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p02,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,45,-12.723850415583001,0.5005494291544892,13.22439984473749,0.05,0.005555555555555556,-0.044444444444444446,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_6h_p03,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,73,-11.378143526482745,2.5940334441838786,13.972176970666624,0.10273972602739725,0.03767123287671233,-0.06506849315068493,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_6h_p04,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,100,-8.102312271890696,5.815441564045614,13.91775383593631,0.095,0.035,-0.06,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_6h_p05,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,128,0.8232413750665728,15.039003392070299,14.215762017003726,0.095703125,0.0390625,-0.056640625,1.0,1.0,0.0,0.0
weth_usdc_3000_stress_6h_p06,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,155,-0.770848949206993,15.113496656063944,15.884345605270937,0.09354838709677418,0.035483870967741936,-0.05806451612903225,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p01,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,60,-2.6055952475580852,1.7026461305795237,4.308241378137609,0.020161290322580645,0.004032258064516129,-0.016129032258064516,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p02,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,190,-4.1707765674218535,2.548590843915008,6.7193674113368616,0.015789473684210527,0.002631578947368421,-0.013157894736842106,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p03,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,319,-5.299983246950433,2.5485908440314233,7.848574090981856,0.012539184952978056,0.001567398119122257,-0.0109717868338558,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p04,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,449,-3.697521780617535,4.0597718064673245,7.75729358708486,0.012749445676274944,0.003325942350332594,-0.00942350332594235,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p05,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,578,1.3635633902158588,10.019926254171878,8.65636286395602,0.016003460207612456,0.003027681660899654,-0.012975778546712802,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p06,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,708,-2.1587742785923183,10.109111431054771,12.26788570964709,0.016901408450704224,0.0028169014084507044,-0.01408450704225352,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p07,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,837,-7.117055368609726,10.10911143058911,17.226166799198836,0.01909307875894988,0.002386634844868735,-0.016706443914081145,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p08,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,967,-11.093000485096127,10.10911143058911,21.202111915685236,0.022750775594622543,0.002068252326783868,-0.020682523267838676,1.0,1.0,0.0,0.0
